BRAND,CATEGORY,STORAGE_TEMP,ARTICLE_CODE,FORECAST_QTY,ACTUAL_QTY,UNIT_PRICE_AED,EXPIRY_DATE,DAYS_TO_EXPIRY
Americana Frozen,Burgers,Frozen (-18°C),AS-722,1701,1740,61.69,1/22/2026,8
Bic/Stabilo,Pens,Ambient,AS-700,1245,1291,22.79,3/29/2035,3361
Bic/Stabilo,Highlighters,Ambient,AS-330,520,1070,55.53,9/21/2035,3537
Bic/Stabilo,Highlighters,Ambient,AS-280,1196,1106,18.55,10/5/2035,3551
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-716,1076,424,36.65,12/30/2025,-15
California Garden,Fava Beans,Ambient,AS-901,610,931,45.56,5/30/2027,501
Americana Frozen,Burgers,Frozen (-18°C),AS-500,596,1085,69.96,1/8/2026,-6
Americana Cakes,Swiss Roll,Ambient,AS-527,1835,1205,23.27,1/30/2026,16
Americana Cakes,Pound Cake,Ambient,AS-165,1443,1718,66.94,12/13/2025,-32
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-761,366,1829,64.58,6/11/2026,148
Bic/Stabilo,Pens,Ambient,AS-222,1777,1873,5.79,5/19/2035,3412
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-449,970,1986,22.86,4/25/2026,101
California Garden,Fava Beans,Ambient,AS-696,393,83,20.44,4/3/2027,444
Americana Cakes,Pound Cake,Ambient,AS-857,330,121,40.62,5/29/2026,135
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-119,578,1773,63,2/24/2026,41
Double A,A4 Paper Box,Ambient,AS-358,876,1331,26.55,4/19/2035,3382
California Garden,Tuna skips,Ambient,AS-766,1586,2015,53.28,9/22/2027,616
Americana Cakes,Swiss Roll,Ambient,AS-791,1140,365,24.21,12/28/2025,-17
Double A,A4 Paper Box,Ambient,AS-804,1732,2001,14.84,10/11/2035,3557
California Garden,Fava Beans,Ambient,AS-526,1776,112,16.27,5/29/2027,500
California Garden,Tuna skips,Ambient,AS-473,1868,1472,77.21,10/9/2027,633
California Garden,Fava Beans,Ambient,AS-936,1668,1055,35.12,8/18/2027,581
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-866,207,1485,8.66,12/20/2025,-25
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-324,1316,786,49.49,9/13/2026,242
Americana Cakes,Swiss Roll,Ambient,AS-786,716,1657,84.05,4/5/2026,81
Bic/Stabilo,Pens,Ambient,AS-411,1229,1920,5.61,3/2/2035,3334
California Garden,Fava Beans,Ambient,AS-248,1193,1850,12.06,5/30/2027,501
California Garden,Fava Beans,Ambient,AS-631,1047,444,51.94,12/27/2027,712
California Garden,Fava Beans,Ambient,AS-824,1941,1895,36.51,3/8/2027,418
Americana Cakes,Swiss Roll,Ambient,AS-885,1752,526,5.01,1/9/2026,-5
Bic/Stabilo,Pens,Ambient,AS-394,513,1077,53.87,5/12/2035,3405
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-852,1792,1409,55.48,6/13/2026,150
Double A,A4 Paper Box,Ambient,AS-228,1398,1954,54.02,4/14/2035,3377
Americana Frozen,Burgers,Frozen (-18°C),AS-526,1275,1575,58.66,1/15/2026,1
Americana Cakes,Swiss Roll,Ambient,AS-880,1172,586,66.62,7/14/2025,-184
Bic/Stabilo,Highlighters,Ambient,AS-464,1790,1948,64.92,11/17/2035,3594
Bic/Stabilo,Pens,Ambient,AS-253,198,1970,38.4,11/3/2035,3580
Bic/Stabilo,Highlighters,Ambient,AS-522,1031,451,29.05,6/20/2035,3444
California Garden,Tuna skips,Ambient,AS-795,445,105,12.54,11/5/2027,660
Bic/Stabilo,Highlighters,Ambient,AS-577,1757,604,74.56,1/10/2036,3648
California Garden,Fava Beans,Ambient,AS-623,360,1485,50.14,1/30/2027,381
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-278,1991,2043,56.29,3/21/2026,66
Bic/Stabilo,Highlighters,Ambient,AS-470,552,495,57.45,9/24/2035,3540
Americana Cakes,Swiss Roll,Ambient,AS-278,707,1724,21.14,9/18/2025,-118
Bic/Stabilo,Highlighters,Ambient,AS-384,303,1899,69.25,1/13/2035,3286
Double A,A4 Paper Box,Ambient,AS-786,1360,1137,79.18,4/22/2035,3385
Bic/Stabilo,Highlighters,Ambient,AS-403,1695,2027,24.51,9/9/2035,3525
Americana Frozen,Burgers,Frozen (-18°C),AS-615,1248,404,59.52,8/12/2026,210
Bic/Stabilo,Highlighters,Ambient,AS-221,1464,1031,45.64,3/23/2035,3355
Americana Cakes,Pound Cake,Ambient,AS-271,457,1640,54.19,7/8/2026,175
Americana Cakes,Swiss Roll,Ambient,AS-826,317,1277,60.23,10/16/2025,-90
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-610,1861,138,55.18,9/17/2026,246
Americana Cakes,Swiss Roll,Ambient,AS-253,595,1478,61.45,9/16/2025,-120
Bic/Stabilo,Highlighters,Ambient,AS-717,784,461,9.88,12/27/2035,3634
Americana Cakes,Pound Cake,Ambient,AS-406,1691,2188,38.68,4/28/2026,104
California Garden,Tuna skips,Ambient,AS-632,613,552,59.97,12/28/2027,713
Americana Cakes,Pound Cake,Ambient,AS-324,1286,772,67.36,7/18/2025,-180
Americana Cakes,Pound Cake,Ambient,AS-776,1366,888,43.01,10/15/2025,-91
Bic/Stabilo,Pens,Ambient,AS-536,1580,584,79.47,5/9/2035,3402
Americana Cakes,Swiss Roll,Ambient,AS-981,1359,1082,18.05,3/28/2026,73
Americana Frozen,Burgers,Frozen (-18°C),AS-656,1778,1635,33.37,6/15/2026,152
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-374,1261,340,16.26,12/27/2025,-18
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-572,926,550,14.45,7/29/2026,196
Double A,A4 Paper Box,Ambient,AS-672,146,2072,48.96,11/17/2035,3594
California Garden,Tuna skips,Ambient,AS-501,449,1584,8.59,5/13/2027,484
Double A,A4 Paper Box,Ambient,AS-209,1971,806,18.75,12/28/2035,3635
Double A,A4 Paper Box,Ambient,AS-979,139,654,43.88,4/17/2035,3380
Bic/Stabilo,Highlighters,Ambient,AS-896,784,1398,53.24,12/30/2035,3637
Americana Cakes,Swiss Roll,Ambient,AS-426,1654,2160,37.82,2/25/2026,42
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-903,919,1702,72.18,10/7/2026,266
Double A,A4 Paper Box,Ambient,AS-575,631,1556,38.2,1/13/2035,3286
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-744,1274,1461,27.1,9/9/2026,238
Americana Cakes,Swiss Roll,Ambient,AS-669,815,338,45.59,11/7/2025,-68
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-536,272,439,14.89,12/28/2025,-17
Double A,A4 Paper Box,Ambient,AS-261,625,974,56.51,11/11/2035,3588
Bic/Stabilo,Pens,Ambient,AS-134,1874,1766,50.89,1/26/2035,3299
California Garden,Tuna skips,Ambient,AS-702,1926,1169,63.75,12/9/2027,694
Double A,A4 Paper Box,Ambient,AS-138,1172,2042,26.34,7/26/2035,3480
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-865,507,1429,60.44,7/17/2026,184
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-284,901,1956,16.69,10/3/2026,262
Americana Cakes,Pound Cake,Ambient,AS-264,1413,2188,75.67,4/19/2026,95
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-142,1789,1674,42.31,2/28/2026,45
Americana Cakes,Swiss Roll,Ambient,AS-512,885,117,43.12,12/7/2025,-38
Americana Frozen,Burgers,Frozen (-18°C),AS-588,1472,1568,60.66,7/7/2026,174
Bic/Stabilo,Pens,Ambient,AS-816,1670,616,6.42,1/17/2035,3290
Americana Cakes,Swiss Roll,Ambient,AS-431,254,1876,84.02,12/31/2025,-14
Americana Cakes,Swiss Roll,Ambient,AS-792,1587,465,41.66,7/21/2025,-177
Americana Cakes,Pound Cake,Ambient,AS-220,1785,1821,5.24,7/29/2025,-169
Americana Cakes,Swiss Roll,Ambient,AS-419,773,1295,7.82,6/22/2026,159
California Garden,Tuna skips,Ambient,AS-489,319,2024,49.18,2/23/2027,405
California Garden,Fava Beans,Ambient,AS-263,1155,277,22.67,9/23/2027,617
Americana Frozen,Burgers,Frozen (-18°C),AS-549,976,2121,67.5,1/17/2026,3
California Garden,Fava Beans,Ambient,AS-436,322,1892,48.33,4/15/2027,456
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-534,675,1284,50.66,6/26/2026,163
Americana Cakes,Pound Cake,Ambient,AS-341,361,2040,37.71,5/26/2026,132
California Garden,Tuna skips,Ambient,AS-445,637,1466,13.61,12/13/2027,698
Americana Frozen,Burgers,Frozen (-18°C),AS-695,985,1796,79.4,3/19/2026,64
California Garden,Fava Beans,Ambient,AS-132,976,1097,39.95,9/18/2027,612
Double A,A4 Paper Box,Ambient,AS-291,1319,701,72.56,12/28/2035,3635
California Garden,Fava Beans,Ambient,AS-765,659,1457,21.7,6/30/2027,532
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-554,1509,2173,47.83,3/31/2026,76
Bic/Stabilo,Highlighters,Ambient,AS-892,1278,1018,26.75,11/13/2035,3590
Americana Cakes,Pound Cake,Ambient,AS-153,1666,1686,62.65,6/21/2026,158
Americana Cakes,Swiss Roll,Ambient,AS-742,898,1696,59.9,12/12/2025,-33
Americana Cakes,Pound Cake,Ambient,AS-212,1395,448,52.01,1/24/2026,10
California Garden,Tuna skips,Ambient,AS-116,1914,1380,76.43,10/3/2027,627
Bic/Stabilo,Highlighters,Ambient,AS-237,1462,589,56.07,1/16/2035,3289
Americana Cakes,Pound Cake,Ambient,AS-762,1238,747,20.47,8/2/2025,-165
Bic/Stabilo,Highlighters,Ambient,AS-555,1437,1688,62.6,5/5/2035,3398
California Garden,Tuna skips,Ambient,AS-401,409,1212,77.82,7/18/2027,550
Bic/Stabilo,Pens,Ambient,AS-554,1264,2167,45.32,2/8/2035,3312
Double A,A4 Paper Box,Ambient,AS-824,1428,1994,5.95,4/16/2035,3379
Double A,A4 Paper Box,Ambient,AS-528,643,1865,16.14,10/18/2035,3564
Bic/Stabilo,Highlighters,Ambient,AS-838,672,606,19.2,1/15/2035,3288
Americana Cakes,Swiss Roll,Ambient,AS-740,1487,162,24.58,3/26/2026,71
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-504,1568,221,63.1,9/8/2026,237
Double A,A4 Paper Box,Ambient,AS-520,895,2024,28.53,7/14/2035,3468
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-693,1697,642,69.5,12/7/2025,-38
Americana Cakes,Swiss Roll,Ambient,AS-469,222,1680,47.91,1/22/2026,8
Bic/Stabilo,Pens,Ambient,AS-844,1604,1724,37.57,5/12/2035,3405
Double A,A4 Paper Box,Ambient,AS-144,176,341,54.37,7/15/2035,3469
California Garden,Fava Beans,Ambient,AS-910,1661,1591,50.64,10/13/2027,637
Double A,A4 Paper Box,Ambient,AS-996,1079,2028,79.13,12/10/2035,3617
California Garden,Tuna skips,Ambient,AS-900,693,167,49.39,3/22/2027,432
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-691,437,83,51.65,5/3/2026,109
Americana Cakes,Swiss Roll,Ambient,AS-605,135,355,84.35,1/17/2026,3
Double A,A4 Paper Box,Ambient,AS-817,968,449,50.04,12/3/2035,3610
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-418,1752,1723,22.29,11/17/2025,-58
Double A,A4 Paper Box,Ambient,AS-248,1139,1533,57.11,5/21/2035,3414
Double A,A4 Paper Box,Ambient,AS-244,894,940,38.4,12/2/2035,3609
Americana Cakes,Pound Cake,Ambient,AS-745,1581,152,55.25,4/3/2026,79
Double A,A4 Paper Box,Ambient,AS-309,943,2069,59.76,11/29/2035,3606
Bic/Stabilo,Highlighters,Ambient,AS-916,1117,1313,57.74,8/21/2035,3506
Double A,A4 Paper Box,Ambient,AS-822,885,740,78.79,10/1/2035,3547
Double A,A4 Paper Box,Ambient,AS-546,1719,1351,61.11,1/27/2035,3300
Bic/Stabilo,Highlighters,Ambient,AS-276,1727,120,77.39,9/11/2035,3527
Americana Cakes,Pound Cake,Ambient,AS-191,1643,1756,68.76,4/13/2026,89
Bic/Stabilo,Pens,Ambient,AS-758,193,606,40.74,8/27/2035,3512
California Garden,Fava Beans,Ambient,AS-532,377,1544,72.69,9/27/2027,621
Bic/Stabilo,Pens,Ambient,AS-911,260,1617,32.57,3/4/2035,3336
Bic/Stabilo,Pens,Ambient,AS-679,445,1203,6.77,4/5/2035,3368
California Garden,Tuna skips,Ambient,AS-344,401,1990,25.55,1/23/2027,374
California Garden,Tuna skips,Ambient,AS-678,1338,443,83.53,7/17/2027,549
California Garden,Tuna skips,Ambient,AS-981,733,298,30.71,4/25/2027,466
Double A,A4 Paper Box,Ambient,AS-885,595,2001,53.39,3/6/2035,3338
Bic/Stabilo,Pens,Ambient,AS-168,516,1178,34.14,3/23/2035,3355
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-824,295,965,5.62,8/26/2026,224
Americana Frozen,Burgers,Frozen (-18°C),AS-494,1894,1447,48.41,11/29/2025,-46
California Garden,Fava Beans,Ambient,AS-743,411,985,36.48,3/1/2027,411
Bic/Stabilo,Pens,Ambient,AS-226,1727,92,25.85,12/20/2035,3627
California Garden,Fava Beans,Ambient,AS-979,169,1252,82.25,11/1/2027,656
Bic/Stabilo,Highlighters,Ambient,AS-878,1324,958,81.53,2/18/2035,3322
Americana Cakes,Pound Cake,Ambient,AS-241,191,1338,48.03,3/4/2026,49
Americana Frozen,Burgers,Frozen (-18°C),AS-301,1451,1825,75.22,12/30/2025,-15
California Garden,Fava Beans,Ambient,AS-142,1324,146,58.35,12/21/2027,706
California Garden,Fava Beans,Ambient,AS-104,151,1478,49.33,12/18/2027,703
Bic/Stabilo,Highlighters,Ambient,AS-361,571,593,20.22,10/13/2035,3559
Bic/Stabilo,Highlighters,Ambient,AS-548,847,1971,14.79,4/30/2035,3393
Americana Cakes,Swiss Roll,Ambient,AS-710,1299,1607,51.57,10/2/2025,-104
Bic/Stabilo,Pens,Ambient,AS-241,1317,517,39.91,1/4/2036,3642
Americana Cakes,Swiss Roll,Ambient,AS-445,1437,1098,62.01,4/11/2026,87
Bic/Stabilo,Highlighters,Ambient,AS-148,522,2054,84.99,8/18/2035,3503
Americana Frozen,Burgers,Frozen (-18°C),AS-339,1993,415,53.82,8/27/2026,225
Double A,A4 Paper Box,Ambient,AS-732,664,1732,73.23,5/5/2035,3398
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-110,1624,670,70.25,10/7/2026,266
Americana Cakes,Pound Cake,Ambient,AS-197,1479,132,14.44,10/6/2025,-100
Bic/Stabilo,Pens,Ambient,AS-214,429,1302,28.81,11/18/2035,3595
Bic/Stabilo,Pens,Ambient,AS-944,859,2061,14.71,5/16/2035,3409
Americana Frozen,Burgers,Frozen (-18°C),AS-321,1327,724,54.19,3/24/2026,69
Bic/Stabilo,Highlighters,Ambient,AS-318,662,586,34.03,11/20/2035,3597
Americana Cakes,Swiss Roll,Ambient,AS-943,1881,1288,46.14,1/2/2026,-12
Bic/Stabilo,Pens,Ambient,AS-323,1472,548,75.72,2/25/2035,3329
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-921,219,712,54,6/11/2026,148
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-717,1440,907,53.03,2/9/2026,26
Americana Cakes,Swiss Roll,Ambient,AS-313,1621,1290,60.31,10/8/2025,-98
Americana Cakes,Pound Cake,Ambient,AS-609,760,283,32.75,4/7/2026,83
Bic/Stabilo,Pens,Ambient,AS-839,236,961,45.33,11/15/2035,3592
Americana Cakes,Pound Cake,Ambient,AS-167,1488,912,24.1,12/5/2025,-40
Americana Frozen,Burgers,Frozen (-18°C),AS-776,1518,148,78.38,5/2/2026,108
Bic/Stabilo,Highlighters,Ambient,AS-214,272,2106,19.31,1/11/2036,3649
Bic/Stabilo,Highlighters,Ambient,AS-316,680,1058,38.67,7/10/2035,3464
Americana Cakes,Pound Cake,Ambient,AS-459,822,1376,35.63,8/2/2025,-165
Double A,A4 Paper Box,Ambient,AS-684,1881,1664,24.62,2/8/2035,3312
Americana Cakes,Swiss Roll,Ambient,AS-474,927,651,57.43,2/5/2026,22
Bic/Stabilo,Pens,Ambient,AS-261,1907,1335,45.87,10/30/2035,3576
Americana Cakes,Swiss Roll,Ambient,AS-802,1445,1188,53.17,11/27/2025,-48
Americana Cakes,Pound Cake,Ambient,AS-821,1756,548,69.67,9/6/2025,-130
California Garden,Fava Beans,Ambient,AS-183,897,2059,33.38,1/19/2027,370
California Garden,Fava Beans,Ambient,AS-989,422,549,24.13,12/29/2027,714
Bic/Stabilo,Highlighters,Ambient,AS-470,1182,2085,65.87,3/9/2035,3341
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-539,788,712,82.53,12/21/2025,-24
Double A,A4 Paper Box,Ambient,AS-237,640,2039,43.5,10/18/2035,3564
Double A,A4 Paper Box,Ambient,AS-120,1634,600,61.95,3/17/2035,3349
California Garden,Fava Beans,Ambient,AS-594,467,254,23.52,8/26/2027,589
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-671,1602,1628,61.12,10/6/2026,265
Double A,A4 Paper Box,Ambient,AS-424,487,159,68.45,8/22/2035,3507
Americana Cakes,Pound Cake,Ambient,AS-786,1957,1273,23.45,3/17/2026,62
Double A,A4 Paper Box,Ambient,AS-723,730,1525,73,12/15/2035,3622
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-999,957,505,71.3,7/4/2026,171
Americana Cakes,Pound Cake,Ambient,AS-947,888,599,46.78,5/1/2026,107
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-563,516,1923,73.79,11/24/2025,-51
Americana Cakes,Pound Cake,Ambient,AS-647,1642,1904,63.07,5/22/2026,128
Americana Frozen,Burgers,Frozen (-18°C),AS-143,1569,1254,58.47,8/24/2026,222
Americana Cakes,Swiss Roll,Ambient,AS-404,1868,1523,29.31,1/27/2026,13
Double A,A4 Paper Box,Ambient,AS-160,1726,1091,52.89,8/13/2035,3498
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-932,793,1790,67.01,4/14/2026,90
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-761,372,2188,54.12,7/31/2026,198
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-954,1504,999,78.86,1/11/2026,-3
Americana Cakes,Swiss Roll,Ambient,AS-653,1946,1896,28.31,8/16/2025,-151
Americana Frozen,Burgers,Frozen (-18°C),AS-957,1901,271,56.91,3/19/2026,64
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-691,1714,408,22.87,11/8/2025,-67
California Garden,Fava Beans,Ambient,AS-800,1165,1854,65.62,1/20/2027,371
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-848,924,1762,62.17,9/15/2026,244
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-129,474,458,12.31,5/4/2026,110
Bic/Stabilo,Highlighters,Ambient,AS-389,562,259,44,2/27/2035,3331
California Garden,Tuna skips,Ambient,AS-977,231,1911,77.16,6/11/2027,513
Double A,A4 Paper Box,Ambient,AS-345,192,1956,48.16,5/16/2035,3409
Bic/Stabilo,Pens,Ambient,AS-582,619,235,83.75,3/9/2035,3341
Double A,A4 Paper Box,Ambient,AS-289,1266,1850,67.36,7/5/2035,3459
California Garden,Fava Beans,Ambient,AS-933,926,2188,7.98,7/17/2027,549
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-593,977,935,70.45,7/7/2026,174
Double A,A4 Paper Box,Ambient,AS-921,1740,788,56.25,3/11/2035,3343
Americana Cakes,Swiss Roll,Ambient,AS-495,1554,763,69.83,5/5/2026,111
Bic/Stabilo,Pens,Ambient,AS-373,1075,1738,15.58,9/24/2035,3540
California Garden,Tuna skips,Ambient,AS-129,210,1431,38.41,8/23/2027,586
Bic/Stabilo,Highlighters,Ambient,AS-960,1414,1826,70.14,12/16/2035,3623
California Garden,Fava Beans,Ambient,AS-511,1144,111,76.54,2/15/2027,397
Americana Cakes,Swiss Roll,Ambient,AS-509,1066,1741,80.24,8/24/2025,-143
Double A,A4 Paper Box,Ambient,AS-707,601,623,47.23,6/3/2035,3427
California Garden,Fava Beans,Ambient,AS-647,669,511,33.12,10/7/2027,631
Bic/Stabilo,Highlighters,Ambient,AS-308,994,1268,68.45,1/25/2035,3298
Americana Cakes,Pound Cake,Ambient,AS-292,519,1336,80.04,8/9/2025,-158
Double A,A4 Paper Box,Ambient,AS-370,407,1905,24.96,1/9/2036,3647
Bic/Stabilo,Pens,Ambient,AS-573,727,1294,42.37,6/6/2035,3430
Bic/Stabilo,Pens,Ambient,AS-489,1983,1606,64.8,7/2/2035,3456
Double A,A4 Paper Box,Ambient,AS-559,611,1461,59.35,2/20/2035,3324
Americana Cakes,Swiss Roll,Ambient,AS-524,115,2111,37.14,7/3/2026,170
California Garden,Fava Beans,Ambient,AS-923,1860,2045,73.72,11/4/2027,659
Bic/Stabilo,Pens,Ambient,AS-431,1458,1666,23.73,4/21/2035,3384
Bic/Stabilo,Highlighters,Ambient,AS-351,314,2124,18.41,6/10/2035,3434
Americana Frozen,Burgers,Frozen (-18°C),AS-889,158,961,76.52,3/24/2026,69
Americana Frozen,Burgers,Frozen (-18°C),AS-703,435,1037,22.72,7/6/2026,173
Bic/Stabilo,Pens,Ambient,AS-260,304,342,14.84,5/11/2035,3404
Americana Cakes,Swiss Roll,Ambient,AS-185,1148,1381,65.91,9/12/2025,-124
Bic/Stabilo,Highlighters,Ambient,AS-596,1836,495,41.76,3/12/2035,3344
Americana Cakes,Swiss Roll,Ambient,AS-332,1646,758,19.67,8/15/2025,-152
Double A,A4 Paper Box,Ambient,AS-259,1537,1406,41.35,12/2/2035,3609
Americana Cakes,Pound Cake,Ambient,AS-302,1179,2037,43.34,3/13/2026,58
Double A,A4 Paper Box,Ambient,AS-580,821,480,59.67,5/21/2035,3414
California Garden,Tuna skips,Ambient,AS-886,821,467,53.02,1/22/2027,373
Americana Cakes,Pound Cake,Ambient,AS-999,1555,882,49.27,9/5/2025,-131
Bic/Stabilo,Pens,Ambient,AS-240,834,2065,15.55,2/23/2035,3327
Americana Cakes,Swiss Roll,Ambient,AS-816,867,578,6.97,3/8/2026,53
Bic/Stabilo,Highlighters,Ambient,AS-867,1157,1753,78.64,8/7/2035,3492
Double A,A4 Paper Box,Ambient,AS-192,1803,669,42.92,7/12/2035,3466
Bic/Stabilo,Pens,Ambient,AS-796,661,1122,9.83,10/15/2035,3561
Americana Cakes,Swiss Roll,Ambient,AS-782,562,1153,81.72,2/19/2026,36
Bic/Stabilo,Highlighters,Ambient,AS-516,969,530,13.08,7/16/2035,3470
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-521,1986,1546,22.64,3/27/2026,72
Bic/Stabilo,Highlighters,Ambient,AS-216,1606,948,72.15,5/8/2035,3401
Americana Cakes,Swiss Roll,Ambient,AS-347,297,362,47.7,11/2/2025,-73
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-150,467,2047,14.06,2/24/2026,41
California Garden,Tuna skips,Ambient,AS-125,552,1133,30.55,7/3/2027,535
Double A,A4 Paper Box,Ambient,AS-612,1842,1348,55.54,11/7/2035,3584
Americana Cakes,Pound Cake,Ambient,AS-141,1353,1551,53.25,1/23/2026,9
Americana Frozen,Burgers,Frozen (-18°C),AS-432,829,902,23.76,1/11/2026,-3
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-362,1255,1212,7.68,8/31/2026,229
California Garden,Tuna skips,Ambient,AS-304,367,191,28.04,1/8/2028,724
Bic/Stabilo,Highlighters,Ambient,AS-394,596,1369,30.61,9/8/2035,3524
Double A,A4 Paper Box,Ambient,AS-326,1748,90,81.24,12/9/2035,3616
Bic/Stabilo,Pens,Ambient,AS-272,1801,310,25.21,10/8/2035,3554
California Garden,Tuna skips,Ambient,AS-476,1457,949,7.4,8/31/2027,594
California Garden,Fava Beans,Ambient,AS-678,661,2125,58.77,9/23/2027,617
Bic/Stabilo,Highlighters,Ambient,AS-629,1981,1580,23.84,8/1/2035,3486
Americana Cakes,Pound Cake,Ambient,AS-885,320,1519,14.86,9/14/2025,-122
Double A,A4 Paper Box,Ambient,AS-730,1723,1760,9.74,5/3/2035,3396
Double A,A4 Paper Box,Ambient,AS-737,1538,843,51.93,6/1/2035,3425
Americana Cakes,Swiss Roll,Ambient,AS-610,1206,1114,30.24,12/18/2025,-27
Double A,A4 Paper Box,Ambient,AS-576,723,1468,83.51,7/17/2035,3471
Americana Frozen,Burgers,Frozen (-18°C),AS-126,1859,1665,81.69,4/18/2026,94
Bic/Stabilo,Highlighters,Ambient,AS-318,943,572,56.65,11/12/2035,3589
Double A,A4 Paper Box,Ambient,AS-853,765,488,56.97,2/8/2035,3312
Americana Cakes,Pound Cake,Ambient,AS-989,1347,1646,61.7,11/9/2025,-66
California Garden,Fava Beans,Ambient,AS-960,557,574,36.68,6/29/2027,531
California Garden,Fava Beans,Ambient,AS-390,1621,1249,5.03,11/16/2027,671
Double A,A4 Paper Box,Ambient,AS-294,383,1654,7.53,2/1/2035,3305
Bic/Stabilo,Highlighters,Ambient,AS-358,242,1285,13.3,8/9/2035,3494
Bic/Stabilo,Pens,Ambient,AS-462,1708,864,38.92,10/14/2035,3560
Bic/Stabilo,Pens,Ambient,AS-990,1244,1609,49.85,11/19/2035,3596
California Garden,Tuna skips,Ambient,AS-463,549,891,39.1,5/28/2027,499
Double A,A4 Paper Box,Ambient,AS-812,179,182,25.72,3/14/2035,3346
Bic/Stabilo,Highlighters,Ambient,AS-216,1196,999,20.12,2/26/2035,3330
Double A,A4 Paper Box,Ambient,AS-408,137,1978,65.45,11/2/2035,3579
Bic/Stabilo,Highlighters,Ambient,AS-801,1597,899,51.21,10/12/2035,3558
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-828,781,1205,25.15,4/30/2026,106
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-685,1366,270,58.63,8/29/2026,227
California Garden,Fava Beans,Ambient,AS-589,492,1556,78,9/12/2027,606
Americana Cakes,Pound Cake,Ambient,AS-985,308,1159,81.51,10/15/2025,-91
Americana Cakes,Pound Cake,Ambient,AS-383,1127,1376,83.3,5/6/2026,112
Bic/Stabilo,Highlighters,Ambient,AS-968,155,2154,53.08,2/16/2035,3320
California Garden,Tuna skips,Ambient,AS-835,112,95,31.82,7/3/2027,535
Bic/Stabilo,Highlighters,Ambient,AS-861,1436,552,28.45,8/7/2035,3492
California Garden,Tuna skips,Ambient,AS-775,1619,386,51.46,12/14/2027,699
Bic/Stabilo,Pens,Ambient,AS-339,805,1094,83.2,12/18/2035,3625
Americana Cakes,Pound Cake,Ambient,AS-197,1247,335,23.75,9/12/2025,-124
California Garden,Fava Beans,Ambient,AS-836,1820,554,72.33,1/6/2028,722
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-589,872,1853,76.28,9/21/2026,250
Double A,A4 Paper Box,Ambient,AS-163,606,555,72.78,4/24/2035,3387
Bic/Stabilo,Highlighters,Ambient,AS-712,719,1446,51.48,9/14/2035,3530
Americana Frozen,Burgers,Frozen (-18°C),AS-990,1573,1640,26.15,3/12/2026,57
Americana Cakes,Pound Cake,Ambient,AS-665,1852,2099,17.79,9/21/2025,-115
Americana Cakes,Swiss Roll,Ambient,AS-989,1575,114,7.7,8/13/2025,-154
Bic/Stabilo,Pens,Ambient,AS-619,1319,264,27.38,8/21/2035,3506
Bic/Stabilo,Highlighters,Ambient,AS-450,1944,252,84.16,9/5/2035,3521
